Город,Уровень зарплат
Москва,83633
Киев,79438
Санкт-Петербург,68770
Новосибирск,64778
Екатеринбург,59142
Минск,56521
Краснодар,51817
Казань,51322
Нижний Новгород,49938
Самара,49547
Пермь,45825
Ростов-на-Дону,45019
Воронеж,43475
Алматы,42696
